Battery,Brand,CPU,Color,Display,Graphics,ImgURL,MFG_year,Name,OS,Price,Ram,Size,Status,Storage,URL,Weight,Wireless
"
                                                    4 Cell 60WHr                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 5800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa tới 4.4GHz với Turbo Boost, L3 Cache 16 MB)                                            ","
                                                            Phantom Blue (xanh đen)                                                    ","
                                                    15.6"" FHD (1920x1080) IPS, độ sáng 300nits, chống lóa, tần số quét 60Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer                                            ","
                                                    AMD Radeon™ Graphics + NVIDIA GeForce RTX  3050 4GB GDDR6                                            ",https://trungtran.vn//upload_images/images/products/lenovo-gaming/resized/screenshot-2021-09-12-193454-copy.webp,"
                                                            2021                                                    ","Legion 5 Pro 2021 Ryzen 7 5800H RAM 16GB SSD 512GB RTX 3060 16"" 2K IPS 165Hz","
                                                            Windows 10                                                     ",28.500.000đ,"
                                                    16GB DDR4 3200MHz                                            ","
                                                            36.3 x 25.9x 2.3-2.6 cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/lenovo-legion-5-2021-ryzen-7-rtx/,"
                                                            2.4kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.1                                                    "
"
                                                    71wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel® Smart Cache)                                            ","
                                                            Slate Gray (Xám)                                                    ","
                                                    16″, 2.5K (2560x1600) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer                                            ","
                                                    Đồ họa Intel® Iris® Xe                                            ",https://trungtran.vn/images/products/2023/resized/thinkbook_16_plus_2023_thumbnail.png,"
                                                            2023                                                    ","ThinkBook 14 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14"" 2.8K 90Hz","
                                                            Windows 11                                                    ",20.900.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            35.6 x 25.1 x 1.65cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/thinkbook-16-g5-plus-2023-i5-intel/,"
                                                            1.8kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    71wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel® Smart Cache)                                            ","
                                                            Slate Gray (Xám)                                                    ","
                                                    16″, 2.5K (2560x1600) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer                                            ","
                                                    Đồ họa Intel® Iris® Xe                                            ",https://trungtran.vn/images/products/2023/resized/thinkbook_16_plus_2023_thumbnail.png,"
                                                            2023                                                    ",ThinkBook 14 G5+ 2023 i5-13500H RAM 16GB SSD 512GB RTX 3050 2.8K IPS 90Hz,"
                                                            Windows 11                                                    ",25.500.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            35.6 x 25.1 x 1.65cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/thinkbook-16-g5-plus-2023-i5-intel/,"
                                                            1.8kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    4-cell, 54wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core i5-1240P (tổng cộng có 12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)                                            ","
                                                            Titan Gray                                                    ","
                                                    16"" FHD+ (1920 x 1200), WVA, không cảm ứng, độ sáng 250 nits, tỷ lệ khung hình 16:10, độ phủ màu khoảng 65% sRGB, tần số quét 60Hz, ComfortView Plus, Dell Cinema Color                                            ","
                                                    Intel® UHD Graphic                                            ",https://trungtran.vn/images/products/2023/resized/vostro-16-5620-nt-gallery-3.png,"
                                                            2022                                                    ",,"
                                                            Windows 11                                                    ","
                            16.300.000đ                        ","
                                                    8GB DDR4 3200MHz                                            ","
                                                            35.7cm x 25.2cm x 1.6-1.8cm                                                    ","
                                                            New 100%                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-vostro-5620-i5-intel/,"
                                                            1.91kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i7-8665U (4 nhân, 8 luồng, xung cơ bản 1.9GHz, có thể đạt 4.8GHz với Turbo Boost, 8 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD IPS (1920 x 1080), màn gương chống chói, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 255nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail-copy.png,"
                                                            2019                                                    ",,"
                                                            Windows 10                                                    ","
                            11.500.000đ                        ","
                                                    16GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400, max upgrade tới 32GB                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-2-in-1-i7-intel/,"
                                                            1.43kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    65wh                                            ","
                                                            Acer                                                    ","
                                                    Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel® Smart Cache)                                            ","
                                                            Steel Gray (Xám)                                                    ","
                                                    16″, 3.2k OLED (3200x2000), tỷ lệ khung hình 16:10, độ sáng màn 500nits, độ phủ màu 100% DCI-P3, tần số quét màn 120Hz, tỷ lệ tương phản cao 1.000.000:1; màn có chứng nhận EyeSafe                                             ","
                                                     Đồ họa Intel® Iris® Xe                                            ",https://trungtran.vn/images/products/2023/resized/Acer_swift_go_2023_trungtran_(16).png,"
                                                            2023                                                    ",,"
                                                            Windows 11                                                    ","
                            21.900.000đ                        ","
                                                    16 GB LPDDR5 4800MHz (không nâng cấp được)                                            ","
                                                            35.5cm x 24.5cm x 1.49-1.7cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/acer-swift-go-16-2023-i5-intel-oled/,"
                                                            1.64kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    3-cell, 55wh                                            ","
                                                            Dell                                                    ","
                                                    Intel core i5 1240P (12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)                                            ","
                                                            Platinum (bạc)                                                    ","
                                                    13.4″ 3.5K OLED (3456 x 2160), WVA, viền siêu mảnh InfinityEdge, màn gương (anti-reflective), có cảm ứng, độ sáng 400-nits, 100% DCI-P3, 100% sRGB, tỷ lệ tương phản 1000000:1, mật độ điểm ảnh 304PPI, tần số quét 60Hz, tốc độ phản hồi hình ảnh 2ms.                                            ","
                                                    Intel® Iris® Xe Graphics                                            ",https://trungtran.vn//upload_images/images/products/dell-xps/resized/dell-xps-9320-5-copy.webp,"
                                                            2022                                                    ",Dell XPS 9320 i7 1260P 16GB SSD 512GB FHD+ IPS,"
                                                            Windows 11                                                    ",29.800.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            29.5cm x 19.9cm x 1.5cm                                                    ","
                                                            Outlet Fullbox                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-xps-13-plus-9320-i5-oled/,"
                                                            1.26kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    62wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel® Smart Cache)                                            ","
                                                            Slate Gray (Xám)                                                    ","
                                                    14″, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer                                            ","
                                                    Đồ họa Intel® Iris® Xe + NVIDIA® GeForce® RTX 3050 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/thinkbook_14_plus_2023_1-copy.png,"
                                                            2023                                                    ","ThinkBook 14 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14"" 2.8K 90Hz","
                                                            Windows 11                                                    ",20.900.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            31.2 x 22.4 x 1.59cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-rtx/,"
                                                            1.41kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    62wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5-13500H (12 nhân 16 luồng, xung nhịp cơ bản 3.5GHz, có thể đạt xung nhịp tối đa với Turbo Boost tới 4.7GHz, 18 MB Intel® Smart Cache)                                            ","
                                                            Slate Gray (Xám)                                                    ","
                                                    14″, 2.8K (2880x1800) IPS, tỷ lệ khung hình 16:10, viền mảnh micro-edge, độ phủ màu 100% sRGB, tần số quét màn 90Hz, màn có chứng nhận EyeSafe TÜV RHEINLAND, giảm ánh sáng xanh bảo vệ mắt, DC dimmer                                            ","
                                                    Đồ họa Intel® Iris® Xe + NVIDIA® GeForce® RTX 3050 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/thinkbook_14_plus_2023_1-copy.png,"
                                                            2023                                                    ","ThinkBook 16 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14"" 2.5K 90Hz","
                                                            Windows 11                                                    ",20.900.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            31.2 x 22.4 x 1.59cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/thinkbook-14-g5-plus-2023-i5-rtx/,"
                                                            1.41kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                     4 cells/Li-ion 57.5Wh                                            ","
                                                            Acer                                                    ","
                                                    Intel Core i5 12500H (12 nhân 16 luồng, xung nhịp tối đa có thể đạt tới 4.5GHz, 18 MB Intel® Smart Cache)                                            ","
                                                             Obsidian Black (đen)                                                    ","
                                                     15.6″, FHD (1920 x 1080) IPS, ComfyView, màn nhám chống lóa, không cảm ứng, tần số quét 144Hz, độ sáng màn hình 250 nits, độ phủ màu 45% NTSC, tỷ lệ khung hình 16                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/png_full_size.png,"
                                                             2022                                                    ",,"
                                                             Windows 11 Home                                                    ","
                            19.500.000đ                        ","
                                                     16 GB DDR4-3200 MHz                                             ","
                                                             36.0cm x 27.1cm x 2.59-2.69cm (cạnh trước vát mỏng hơn cạnh bản lề)                                                    ","
                                                             Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/acer-nitro-5-2022-i5-ref-nhieu-cau-hinh/,"
                                                             2.5kg                                                    ","
                                                             Killer Wi-Fi® 6, Bluetooth 5.2                                                    "
